Normal Quadrupole,-29.1790456783,25.4
Normal Quadrupole,-29.1777976836,25.6
Normal Quadrupole,-29.1765496889,25.8
Normal Quadrupole,-29.1753016942,26.0
Normal Quadrupole,-29.1740536995,26.2
Normal Quadrupole,-29.1728057048,26.4
Normal Quadrupole,-29.1715577101,26.6
Normal Quadrupole,-29.1703097154,26.8
Normal Quadrupole,-29.1690617207,27.0
Normal Quadrupole,-29.167813726,27.2
Normal Quadrupole,-29.1665657314,27.4
Normal Quadrupole,-29.1653177367,27.6
Normal Quadrupole,-29.164069742,27.8
Normal Quadrupole,-29.1628217473,28.0
Normal Quadrupole,-29.1615737526,28.2
Normal Quadrupole,-29.1603257579,28.4
Normal Quadrupole,-29.1590777632,28.6
Normal Quadrupole,-29.1578297685,28.8
Normal Quadrupole,-29.1565817738,29.0
Normal Quadrupole,-29.1553337791,29.2
Normal Quadrupole,-29.1540857844,29.4
Normal Quadrupole,-29.1528377897,29.6
Normal Quadrupole,-29.151589795,29.8
Normal Quadrupole,-29.1503418003,30.0
Normal Quadrupole,-29.1490938056,30.2
Normal Quadrupole,-29.1478458109,30.4
Normal Quadrupole,-29.1465978162,30.6
Normal Quadrupole,-29.1453498215,30.8
Normal Quadrupole,-29.1441018268,31.0
Normal Quadrupole,-29.1428538321,31.2
Normal Quadrupole,-29.1416058374,31.4
Normal Quadrupole,-29.1403578427,31.6
Normal Quadrupole,-29.139109848,31.8
Normal Quadrupole,-29.1378618533,32.0
Normal Quadrupole,-29.1366138586,32.2
Normal Quadrupole,-29.1353658639,32.4
Normal Quadrupole,-29.1341178692,32.6
Normal Quadrupole,-29.1328698745,32.8
Normal Quadrupole,-29.1316218798,33.0
Normal Quadrupole,-29.1303738851,33.2
Normal Quadrupole,-29.1291258904,33.4
Normal Quadrupole,-29.1278778957,33.6
Normal Quadrupole,-29.126629901,33.8
Normal Quadrupole,-29.1253819063,34.0
Normal Quadrupole,-29.1241339116,34.2
Normal Quadrupole,-29.1228859169,34.4
Normal Quadrupole,-29.1216379222,34.6
Normal Quadrupole,-29.1203899275,34.8
Normal Quadrupole,-29.1191419328,35.0
Normal Quadrupole,-29.1178939381,35.2
Normal Quadrupole,-29.1166459434,35.4
Normal Quadrupole,-29.1153979487,35.6
Normal Quadrupole,-29.114149954,35.8
Normal Quadrupole,-29.1129019593,36.0
Normal Quadrupole,-29.1116539646,36.2
Normal Quadrupole,-29.1104059699,36.4
Normal Quadrupole,-29.1091579752,36.6
Normal Quadrupole,-29.1079099805,36.8
Normal Quadrupole,-29.1066619858,37.0
Normal Quadrupole,-29.1054139911,37.2
Normal Quadrupole,-29.1041659964,37.4
Normal Quadrupole,-29.1029180017,37.6
Normal Quadrupole,-29.101670007,37.8
Normal Quadrupole,-29.1004220123,38.0
Normal Quadrupole,-29.0991740177,38.2
Normal Quadrupole,-29.097926023,38.4
Normal Quadrupole,-29.0966780283,38.6
Normal Quadrupole,-29.0954300336,38.8
Normal Quadrupole,-29.0941820389,39.0
Normal Quadrupole,-29.0929340442,39.2
Normal Quadrupole,-29.0916860495,39.4
Normal Quadrupole,-29.0904380548,39.6
Normal Quadrupole,-29.0891900601,39.8
Normal Quadrupole,-29.0879420654,40.0
Normal Quadrupole,-29.0866940707,40.2
Normal Quadrupole,-29.085446076,40.4
Normal Quadrupole,-29.0841980813,40.6
Normal Quadrupole,-29.0829500866,40.8
Normal Quadrupole,-29.0817020919,41.0
Normal Quadrupole,-29.0804540972,41.2
Normal Quadrupole,-29.0792061025,41.4
Normal Quadrupole,-29.0779581078,41.6
Normal Quadrupole,-29.0767101131,41.8
Normal Quadrupole,-29.0754621184,42.0
